Brand	ItemNo	Description	Price	КИЕВ1	КИЕВ1 УЦН	ПОГРЕБИ	На Інших складах	ItemNo2
3M	3M 01073	Абразивні диски на паперовій основі	18.9	>3				3M 01073
3M	3M 01075	Абразивні диски на паперовій основі	19.6	>3				3M 01075
3M	3M 01081	Абразивні диски на паперовій основі	19.6	>3				3M 01081
3M	3M 01927	Полірувальний круг вовняний	819	2				3M 01927
3M	3M 01971	Водостійкий абразивний папір	810.6	>3				3M 01971
3M	3M 01975	Водостійкий абразивний папір	597.1	>3				3M 01975
3M	3M 01977	Водостійкий абразивний папір	43.4	>3				3M 01977
3M	3M 01978	Водостійкий абразивний папір	840	>3				3M 01978
3M	3M 01988	Водостійкий абразивний папір	699.3	>3				3M 01988
3M	3M 02045	Абразивний матеріал на паперовій основі	783.3	2				3M 02045
3M	3M 02080	Абразивні диски на плівковій основі	525	1				3M 02080
3M	3M 02085	Абразивні диски на гнучкій вспіненій основі	359.8	>3				3M 02085
3M	3M 02088	Абразивні диски на гнучкій вспіненій основі	168	>3				3M 02088
3M	3M 02601	Губка абразивна	909.3	>3				3M 02601
3M	3M 03633	Водостійкий абразивний папір	1050	>3				3M 03633
3M	3M 03635	Водостійкий абразивний папір	1065.4	2				3M 03635
3M	3M 05171	Шліфок	4125.1	1				3M 05171
3M	3M 05175	М'який перехідник	306.6	>3				3M 05175
3M	3M 05601	Абразивні диски на гнучкій вспіненій основі	77	>3				3M 05601
3M	3M 05726	Круг полірувальний	246.4	>3				3M 05726
3M	3M 06345	Маскувальна стрічка для вклеєного скла	756	>3				3M 06345
3M	3M 06347	Маскувальна стрічка для вклеєного скла	1170.4	1				3M 06347
3M	3M 06349	Маскувальна стрічка для вклеєного скла	915.6	>3				3M 06349
3M	3M 06525	Малярна стрічка	315	2				3M 06525
3M	3M 07897	Малярна стрічка	225.4	2				3M 07897
3M	3M 07903	Скотч-брайт	1878.1	1				3M 07903
3M	3M 07904	Скотч-брайт	1764	2				3M 07904
3M	3M 07909	Диспенсер	1440.6	2				3M 07909
3M	3M 07910	Серветка з нетканих матеріалів	129.5	>3				3M 07910
3M	3M 08210	Прозора захисна плівка	1662.5	>3				3M 08210
3M	3M 08694	Поліуретановий клей-герметик	502.6	1				3M 08694
3M	3M 08861	Антигравійне чорне покриття на основі бітуму	579.6	2				3M 08861
3M	3M 08873	Антикорозійне чорне покриття	579.6	>3				3M 08873
3M	3M 08874	Антикорозійне сіре покриття	579.6	2				3M 08874
3M	3M 09019E	Паста полірувальна для відновлення металу	1518.3	1				3M 09019E
3M	3M 09308	Матуюча паста	1569	2				3M 09308
3M	3M 09374	Паста абразивна 	2169.3	1				3M 09374
3M	3M 09375	Паста полірувальна	1650.6	1				3M 09375
3M	3M 09546	Водостійкий абразивний папір	1299.2	2				3M 09546
3M	3M 09550	Поролоновий багаторазовий полірувальний круг	951.3	2				3M 09550
3M	3M 09552	Оправка для різьби-полірувальник	2373	2				3M 09552
3M	3M 09561	Аплікатор для сухого проявочного покриття	549.5	1				3M 09561
3M	3M 16000	Система підготовки фарб	2928.1	>3				3M 16000
3M	3M 16026	Система підготовки фарб	3630.2	>3				3M 16026
3M	3M 26000	Система підготовки фарб	3660.3	2				3M 26000
3M	3M 26001	Змішувальний бачок	330.4	>3				3M 26001
3M	3M 26026	Система підготовки фарб	3414.6	3				3M 26026
3M	3M 26336	Малярна стрічка	147	>3				3M 26336
